x,y,p,burnt
200,200,25,0.00
200,200,25,0.01
200,200,30,0.03
200,200,30,0.02
200,200,30,0.01
200,200,30,0.03
20,20,60,26.00
20,20,60,31.50
20,20,60,29.50
20,20,60,29.25
20,20,60,30.25
50,50,60,33.00
50,50,60,25.40
50,50,60,31.96
100,100,60,38.36
20,20,50,10.50
20,20,50,16.25
20,20,50,12.00
20,20,50,10.75
20,20,25,0.00
20,20,25,0.25
20,20,25,0.50
20,20,25,0.25
20,20,25,0.50
20,20,30,1.00
20,20,30,1.25
20,20,30,0.50
20,20,30,0.75
20,20,40,1.75
20,20,40,2.75
20,20,40,3.25
20,20,40,3.50
20,20,40,3.50
50,50,25,0.04
50,50,25,0.16
50,50,25,0.08
50,50,25,0.04
50,50,25,0.12
50,50,30,0.24
50,50,30,0.20
50,50,30,0.04
50,50,30,0.28
50,50,30,0.08
50,50,40,1.52
50,50,40,1.92
50,50,40,1.52
50,50,40,1.48
50,50,40,1.32
50,50,40,2.00
50,50,50,13.32
50,50,50,18.96
50,50,50,13.12
50,50,50,17.88
100,100,25,0.03
100,100,25,0.02
100,100,25,0.03
100,100,30,0.04
100,100,30,0.05
100,100,30,0.03
100,100,30,0.10
100,100,40,0.98
100,100,40,1.81
100,100,40,1.17
100,100,40,1.11
100,100,50,16.39
100,100,50,24.66
100,100,50,19.12
100,100,50,14.82
100,100,50,19.24
100,100,50,24.16
100,100,60,33.05
100,100,60,36.66
200,200,40,0.77
200,200,40,0.71
200,200,40,0.66
200,200,40,0.64
200,200,50,20.27
200,200,50,19.38
200,200,50,20.81
200,200,50,15.65
200,200,60,27.75
200,200,60,30.84
200,200,60,29.83
